ID_TYPE_ENTITE	ID_ENTITE 	NOM_COURRIER                                                                              	ID_STATUT_SURV
S             	      1000	PERMIAN GLOBAL MANAGEMENT S.A R.L.                                                        	C16           
S             	      1001	CBRE INVESTMENT MANAGEMENT LUXEMBOURG AIFM S.A R.L.                                       	C16           
S             	      1002	KARTESIA MANAGEMENT                                                                       	C16           
S             	      1003	IDVECTOR INVESTMENT MANAGEMENT S.A R.L.                                                   	C16           
S             	      1004	AIF MANAGEMENT SERVICES S.A.                                                              	C16           
S             	      1006	MASSENA PARTNERS                                                                          	C15           
S             	      1007	PGIM LUXEMBOURG S.A.                                                                      	C16           
S             	      1008	SHELTER INVESTMENT MANAGEMENT                                                             	C15           
S             	      1009	ARGENTA ASSET MANAGEMENT S.A.                                                             	C15           
S             	      1010	CCA LIFE SETTLEMENTS                                                                      	C16           
S             	      1011	VONTOBEL ASSET MANAGEMENT S.A.                                                            	C15           
S             	      1013	PEMBERTON ASSET MANAGEMENT S.A.                                                           	C16           
S             	      1014	BKN CAPITAL S.A.                                                                          	C16           
S             	      1017	CHENAVARI INVESTMENT MANAGERS (LUXEMBOURG) S.A R.L.                                       	C16           
S             	      1018	LFE EUROPEAN ASSET MANAGEMENT S.A R.L.                                                    	C16           
S             	      1019	RENTA 4 LUXEMBOURG                                                                        	C15           
S             	      1021	IQ EQ FUND MANAGEMENT (LUXEMBOURG) S.A.                                                   	C16           
S             	      1022	BI-INVEST ENDOWMENT MANAGEMENT S.A R.L.                                                   	C16           
S             	      1023	IDI EMERGING MARKETS PARTNERS                                                             	C16           
S             	      1025	OPPORTUNITY FUND MANAGEMENT                                                               	C15           
S             	      1030	NATAM MANAGEMENT COMPANY S.A.                                                             	C15           
S             	      1032	PRIME AIFM LUX S.A.                                                                       	C16           
S             	      1033	HINES LUXEMBOURG INVESTMENT MANAGEMENT S.A R.L.                                           	C16           
S             	      1034	LAICORN ASSET MANAGEMENT S.À R.L.                                                         	C16           
S             	      1036	GAM (LUXEMBOURG) S.A.                                                                     	C15           
S             	      1040	SAMARANG ASSET MANAGEMENT S.A.                                                            	C15           
S             	      1041	ZEUS ASSET MANAGEMENT S.A.                                                                	C15           
S             	      1042	BLACKSTONE EUROPE FUND MANAGEMENT S.À R.L.                                                	C15           
S             	      1044	CORESTATE CAPITAL FUND MANAGEMENT S.À R.L.                                                	C16           
S             	      1045	CAPMAN REAL ESTATE MANAGER S.A.                                                           	C16           
S             	      1046	ICG EUROPE S.À R.L.                                                                       	C16           
S             	      1048	MARGUERITE INVESTMENT MANAGEMENT S.A.                                                     	C16           
S             	      1049	CSC FUND MANAGEMENT (LUXEMBOURG) S.À R.L.                                                 	C16           
S             	      1051	FWU INVEST S.A.                                                                           	C15           
S             	      1052	AFFM S.A.                                                                                 	C15           
S             	      1053	LANGHAM HALL MANAGEMENT S.A.R.L                                                           	C16           
S             	      1054	LCM COPS V S.A R.L.                                                                       	C16           
S             	      1055	ALTUM MANAGEMENT COMPANY (LUXEMBOURG) S.A.                                                	C15           
S             	      1058	JUPITER ASSET MANAGEMENT INTERNATIONAL                                                    	C15           
S             	      1060	ARES MANAGEMENT LUXEMBOURG                                                                	C16           
S             	      1061	EMPIRA INVESTMENT SOLUTIONS S.A.                                                          	C15           
S             	      1062	MOVENTUM ASSET MANAGEMENT                                                                 	C15           
S             	      1063	APOLLO INVESTMENT MANAGEMENT EUROPE (LUXEMBOURG) S.À R.L.                                 	C16           
S             	      1064	BNP PARIBAS REAL ESTATE INVESTMENT MANAGEMENT LUXEMBOURG S.A.                             	C16           
S             	      1065	ADVENT INTERNATIONAL FUND MANAGER S.À R.L.                                                	C16           
S             	      1066	STONEWEG INVESTMENT LUXEMBOURG S.À R.L.                                                   	C16           
S             	      1067	NUVEEN ALTERNATIVES EUROPE S.À R.L.                                                       	C16           
S             	      1070	CRESVIA CAPITAL FUND MANAGEMENT                                                           	C16           
S             	      1072	CAPITAL BAY R.E.I.M.                                                                      	C16           
S             	      1073	NORVESTOR INVESTMENT MANAGEMENT S.À R.L.                                                  	C16           
S             	      1074	ONE FUND MANAGEMENT S.A.                                                                  	C15           
S             	      1075	NEUBERGER BERMAN AIFM S.À R.L.                                                            	C16           
S             	      1076	R+V AIFM S.À R.L.                                                                         	C16           
S             	      1077	CMT PORTFOLIO MANAGERS LUXEMBOURG                                                         	C16           
S             	      1078	APIS ASSET MANAGEMENT                                                                     	C15           
S             	      1079	AVEGA CAPITAL MANAGEMENT S.A.                                                             	C16           
S             	      1083	PETRICCA & CO CAPITAL S.A.                                                                	C16           
S             	      1084	AMANCO S.A.                                                                               	C16           
S             	      1087	INTREAL LUXEMBOURG S.A.                                                                   	C16           
S             	      1088	CAPITAL BAY R.E.I.M. II                                                                   	C16           
S             	      1089	CAPMAN RESIDENTIAL MANAGER S.A.                                                           	C16           
S             	      1090	MACQUARIE ASSET MANAGEMENT EUROPE S.À R.L.                                                	C16           
S             	      1091	KBC AM LUXEMBOURG                                                                         	C16           
S             	      1092	ALLFUNDS INVESTMENT SOLUTIONS                                                             	C15           
S             	      1093	ARDIAN CS MANAGEMENT SARL                                                                 	C16           
S             	      1094	KKR UCI MANCO S.À R.L.                                                                    	C16           
